File Sample_ID Age Group Replicate Orientation
bigwigs/1_reverse.bigwig 1 P02 II_Medial 1 reverse
bigwigs/1_forward.bigwig 1 P02 II_Medial 1 forward
bigwigs/2_reverse.bigwig 2 P02 Deep_Medial 1 reverse
bigwigs/2_forward.bigwig 2 P02 Deep_Medial 1 forward
bigwigs/3_reverse.bigwig 3 P02 II_Lateral 1 reverse
bigwigs/3_forward.bigwig 3 P02 II_Lateral 1 forward
bigwigs/4_reverse.bigwig 4 P02 Deep_Lateral 1 reverse
bigwigs/4_forward.bigwig 4 P02 Deep_Lateral 1 forward
bigwigs/5_reverse.bigwig 5 P02 II_Medial 2 reverse
bigwigs/5_forward.bigwig 5 P02 II_Medial 2 forward
bigwigs/6_reverse.bigwig 6 P02 Deep_Medial 2 reverse
bigwigs/6_forward.bigwig 6 P02 Deep_Medial 2 forward
bigwigs/7_reverse.bigwig 7 P02 II_Lateral 2 reverse
bigwigs/7_forward.bigwig 7 P02 II_Lateral 2 forward
bigwigs/8_reverse.bigwig 8 P02 Deep_Lateral 2 reverse
bigwigs/8_forward.bigwig 8 P02 Deep_Lateral 2 forward
bigwigs/9_reverse.bigwig 9 P02 II_Medial 3 reverse
bigwigs/9_forward.bigwig 9 P02 II_Medial 3 forward
bigwigs/10_reverse.bigwig 10 P02 Deep_Medial 3 reverse
bigwigs/10_forward.bigwig 10 P02 Deep_Medial 3 forward
bigwigs/11_reverse.bigwig 11 P02 II_Lateral 3 reverse
bigwigs/11_forward.bigwig 11 P02 II_Lateral 3 forward
bigwigs/12_reverse.bigwig 12 P02 Deep_Lateral 3 reverse
bigwigs/12_forward.bigwig 12 P02 Deep_Lateral 3 forward
bigwigs/13_reverse.bigwig 13 P02 II_Medial 4 reverse
bigwigs/13_forward.bigwig 13 P02 II_Medial 4 forward
bigwigs/14_reverse.bigwig 14 P02 Deep_Medial 4 reverse
bigwigs/14_forward.bigwig 14 P02 Deep_Medial 4 forward
bigwigs/15_reverse.bigwig 15 P02 II_Lateral 4 reverse
bigwigs/15_forward.bigwig 15 P02 II_Lateral 4 forward
bigwigs/16_reverse.bigwig 16 P02 Deep_Lateral 4 reverse
bigwigs/16_forward.bigwig 16 P02 Deep_Lateral 4 forward
bigwigs/17_reverse.bigwig 17 P02 II_Medial 5 reverse
bigwigs/17_forward.bigwig 17 P02 II_Medial 5 forward
bigwigs/18_reverse.bigwig 18 P02 Deep_Medial 5 reverse
bigwigs/18_forward.bigwig 18 P02 Deep_Medial 5 forward
bigwigs/19_reverse.bigwig 19 P02 II_Lateral 5 reverse
bigwigs/19_forward.bigwig 19 P02 II_Lateral 5 forward
bigwigs/20_reverse.bigwig 20 P02 Deep_Lateral 5 reverse
bigwigs/20_forward.bigwig 20 P02 Deep_Lateral 5 forward
bigwigs/21_reverse.bigwig 21 P09 II_Medial 1 reverse
bigwigs/21_forward.bigwig 21 P09 II_Medial 1 forward
bigwigs/22_reverse.bigwig 22 P09 Deep_Medial 1 reverse
bigwigs/22_forward.bigwig 22 P09 Deep_Medial 1 forward
bigwigs/23_reverse.bigwig 23 P09 II_Lateral 1 reverse
bigwigs/23_forward.bigwig 23 P09 II_Lateral 1 forward
bigwigs/24_reverse.bigwig 24 P09 Deep_Lateral 1 reverse
bigwigs/24_forward.bigwig 24 P09 Deep_Lateral 1 forward
bigwigs/25_reverse.bigwig 25 P09 II_Medial 2 reverse
bigwigs/25_forward.bigwig 25 P09 II_Medial 2 forward
bigwigs/26_reverse.bigwig 26 P09 Deep_Medial 2 reverse
bigwigs/26_forward.bigwig 26 P09 Deep_Medial 2 forward
bigwigs/27_reverse.bigwig 27 P09 II_Lateral 2 reverse
bigwigs/27_forward.bigwig 27 P09 II_Lateral 2 forward
bigwigs/28_reverse.bigwig 28 P09 Deep_Lateral 2 reverse
bigwigs/28_forward.bigwig 28 P09 Deep_Lateral 2 forward
bigwigs/29_reverse.bigwig 29 P09 II_Medial 3 reverse
bigwigs/29_forward.bigwig 29 P09 II_Medial 3 forward
bigwigs/30_reverse.bigwig 30 P09 Deep_Medial 3 reverse
bigwigs/30_forward.bigwig 30 P09 Deep_Medial 3 forward
bigwigs/31_reverse.bigwig 31 P09 II_Lateral 3 reverse
bigwigs/31_forward.bigwig 31 P09 II_Lateral 3 forward
bigwigs/32_reverse.bigwig 32 P09 Deep_Lateral 3 reverse
bigwigs/32_forward.bigwig 32 P09 Deep_Lateral 3 forward
bigwigs/33_reverse.bigwig 33 P09 II_Medial 4 reverse
bigwigs/33_forward.bigwig 33 P09 II_Medial 4 forward
bigwigs/34_reverse.bigwig 34 P09 Deep_Medial 4 reverse
bigwigs/34_forward.bigwig 34 P09 Deep_Medial 4 forward
bigwigs/35_reverse.bigwig 35 P09 II_Lateral 4 reverse
bigwigs/35_forward.bigwig 35 P09 II_Lateral 4 forward
bigwigs/36_reverse.bigwig 36 P09 Deep_Lateral 4 reverse
bigwigs/36_forward.bigwig 36 P09 Deep_Lateral 4 forward
bigwigs/37_reverse.bigwig 37 P23 II_Medial 1 reverse
bigwigs/37_forward.bigwig 37 P23 II_Medial 1 forward
bigwigs/38_reverse.bigwig 38 P23 Deep_Medial 1 reverse
bigwigs/38_forward.bigwig 38 P23 Deep_Medial 1 forward
bigwigs/39_reverse.bigwig 39 P23 II_Lateral 1 reverse
bigwigs/39_forward.bigwig 39 P23 II_Lateral 1 forward
bigwigs/40_reverse.bigwig 40 P23 Deep_Lateral 1 reverse
bigwigs/40_forward.bigwig 40 P23 Deep_Lateral 1 forward
bigwigs/41_reverse.bigwig 41 P23 II_Medial 2 reverse
bigwigs/41_forward.bigwig 41 P23 II_Medial 2 forward
bigwigs/42_reverse.bigwig 42 P23 Deep_Medial 2 reverse
bigwigs/42_forward.bigwig 42 P23 Deep_Medial 2 forward
bigwigs/43_reverse.bigwig 43 P23 II_Lateral 2 reverse
bigwigs/43_forward.bigwig 43 P23 II_Lateral 2 forward
bigwigs/44_reverse.bigwig 44 P23 Deep_Lateral 2 reverse
bigwigs/44_forward.bigwig 44 P23 Deep_Lateral 2 forward
bigwigs/45_reverse.bigwig 45 P23 II_Medial 3 reverse
